***
Some things have gotten removed such as:
- tatsuro yamashita - ride on time, etc.
- some dreamcatcher b sides - some kind of licensincg rereleas of music, will have to add songs back to playlist

so I will also keep old version of playlist
***

986  Items In Playlist
Daft Punk - Around the World (Official Audio) :  Daft Punk
All or Nothing at All :  Frank Sinatra
Beach Boys - Wouldn't It Be Nice :  pieandjoe1
The Outfield - Your Love (Official HD Video) :  TheOutfieldVEVO
Omae Wa Mou :  deadman 死人
Sorry, I Like You :  burbank
in your arms :  Saib
Don't Worry Baby (Mono) :  The Beach Boys
engelwood - crystal dolphin :  yotsu
Breakbot - Baby I'm Yours (feat. Irfane) [Official Video] :  Ed Banger Records
salem ilese - mad at disney (live session) :  salem ilese
U2 - Beautiful Day (Official Music Video) :  U2
Spandau Ballet - True (HD Remastered) :  Spandau Ballet (Official)
Manuel - Gas Gas Gas :  musoforlyf
Beabadoobee - Coffee :  Beabadoobee
beabadoobee - Dance with Me (Official Video) :  Beabadoobee
AJR - Break My Face (Official Audio) :  AJR
I DONT KNOW HOW BUT THEY FOUND ME - Do It All The Time :  I DONT KNOW HOW BUT THEY FOUND ME
Spain :  Chick Corea
INZO - Overthinker :  Lowly.
Harry James &quot;Ciribiribin&quot; with Benny Goodman 1939 :  Chuck Par-Due
The Monkees - Daydream Believer (Official Music Video) :  The Monkees
ODESZA - A Moment Apart :  ODESZA
It's Been a Long, Long Time :  Kitty Kallen - Topic
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand... :  Rush
Lucky Chops - Memories (Studio Video) :  Lucky Chops
Neal Hefti - Girl Talk :  Easy Library
Count Basie Orchestra-Cute :  Mátyás Papp
windows sound effect (acapella) :  MayTree
Harry James - Trumpet Blues &amp; Cantabile :  Renato
Olivia Rodrigo - drivers license (Official Video) :  Olivia Rodrigo
Bill Evans Trio - Emily (Helsinki 1969) :  symbolkid
Issam Alnajjar - Hadal Ahbek (Performance Video) :  Issam Alnajjar
Phil Collins - In The Air Tonight (Official Music Video) :  Phil Collins
Cutting Crew - (I Just) Died In Your Arms (Official Music Video) :  Cutting Crew Music
Coleman Hawkins' All Star Octet - The Sheik Of Araby :  Heinz Becker
